,koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_model_snr,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass
4123,CONFIRMED,18.0541469,0.175,4.587,283.1,0.015187,1.5782100000000001,1.51,0.1327,89.67,635.0,38.57,30.07,19.3,5505.0,4.501,0.16,0.909,0.955
4124,CANDIDATE,5.4675514,0.27,3.283,87.2,0.008485,1.1995,1.07,0.0595,88.75,1078.0,319.36,12.38,10.4,5557.0,4.288,0.14,1.151,0.936
4125,FALSE POSITIVE,1.01530474,1.245,8.7622,16445.0,0.411901,0.05554,64.77,0.0214,30.61,2324.0,6918.45,1.4465,1823.0,6428.0,4.226,0.08,1.44,1.273
4126,FALSE POSITIVE,94.180473,0.955,7.345,1104.4,0.038195,0.13495,4.17,0.417,88.63,478.0,12.34,39.8,15.6,6997.0,4.475,-0.5,1.0,1.155
4127,CONFIRMED,1.538185321,0.7,1.683,277.2,0.016308,1.1312799999999998,1.29,0.0241,82.28,1234.0,547.92,5.21,15.2,5107.0,4.615,-0.2,0.723,0.794
4128,FALSE POSITIVE,1.332567643,0.642,4.284,56.7,0.007244,0.08586,0.62,0.0226,71.31,1482.0,1143.87,2.005,24.0,5687.0,4.582,-0.34,0.79,0.882
4129,FALSE POSITIVE,1.089076495,0.597,2.274,43.7,0.006327,0.45747,0.75,0.0214,78.76,2016.0,3923.24,3.06,15.3,6444.0,4.416,-0.26,1.079,1.107
4130,FALSE POSITIVE,1.6627103140000001,0.577,1.83,85.9,0.008824,1.3306200000000001,2.16,0.0298,84.29,2307.0,6700.6,5.79,23.8,6028.0,3.842,-0.06,2.244,1.276
4131,FALSE POSITIVE,472.071079,0.388,5.759,252.6,0.014666,17.18439,2.01,1.2977,89.96,268.0,1.22,587.0,6.4,6186.0,4.3580000000000005,0.56,1.253,1.305
4132,CANDIDATE,0.888478095,0.452,1.5312,340.4,0.017169999999999998,1.65071,1.51,0.0174,83.67,1665.0,1825.96,4.1,24.6,5553.0,4.577,-0.16,0.806,0.903
4133,FALSE POSITIVE,2.18242002,0.721,4.103,69.7,0.008206999999999999,0.10519,0.7,0.0314,76.0,1283.0,638.12,2.98,13.8,5808.0,4.583,-0.46,0.786,0.871
4134,FALSE POSITIVE,0.503999678,0.962,0.5421,975.6,0.047859,2.2495700000000003,2.97,0.0103,72.01,1605.0,1566.41,3.11,96.8,4898.0,4.686,-1.16,0.568,0.57
4135,FALSE POSITIVE,2.66588544,0.276,5.004,167.0,0.011585999999999999,0.1717,0.98,0.0341,86.06,1041.0,278.03,4.011,17.2,4965.0,4.5360000000000005,-0.06,0.771,0.744
4136,CANDIDATE,309.25581,0.2875,10.72,421.4,0.018899000000000003,1.97511,2.18,0.9158,89.95,287.0,1.61,215.3,9.9,6060.0,4.419,0.0,1.057,1.067
4137,CANDIDATE,2.44232399,0.303,1.921,229.0,0.013600999999999999,2.64797,1.1,0.0319,88.15,1029.0,264.82,9.42,14.1,4849.0,4.561,-0.08,0.738,0.723
4138,CONFIRMED,7.61758198,0.234,3.545,85.4,0.008523000000000001,1.36446,1.0,0.0772,89.17,1020.0,255.32,16.12,13.4,6202.0,4.401,-0.12,1.072,1.05
4139,FALSE POSITIVE,41.477908,0.5122,10.45,29.9,0.005186,0.19847,1.09,0.2491,88.81,849.0,122.73,26.2,9.6,6935.0,3.95,-0.62,1.918,1.197
4140,CANDIDATE,42.1003351,0.88,1.0834,214.0,0.015844999999999998,36.55247,1.42,0.2298,89.67,466.0,11.17,150.7,13.9,5595.0,4.57,-0.14,0.82,0.917
4141,CONFIRMED,2.20923119,0.11,2.392,59.8,0.007076000000000001,1.38035,0.84,0.0336,89.11,1507.0,1217.79,7.088,14.3,5991.0,4.375,-0.02,1.092,1.032
4142,FALSE POSITIVE,260.54832,0.378,15.52,161.6,0.011863,0.48651000000000005,1.35,0.8213,89.95,318.0,2.43,120.4,10.2,6412.0,4.44,-0.3,1.04,1.084
4143,FALSE POSITIVE,370.47678,0.5386,15.69,656.2,0.024215999999999998,0.53445,2.37,1.0036,89.95,252.0,0.96,157.1,11.8,6050.0,4.525,-0.3,0.896,0.979
4144,CANDIDATE,5.88350251,0.362,2.556,217.7,0.013655,2.52639,1.27,0.0625,88.75,949.0,192.09,16.66,11.9,5840.0,4.553,-0.24,0.849,0.942
4145,FALSE POSITIVE,0.662457501,1.024,1.527,64.1,0.035206,0.06425,8.3,0.016,26.28,3295.0,27795.08,1.142,13.5,6425.0,3.862,-0.34,2.16,1.237
4146,FALSE POSITIVE,1.33258458,0.422,3.222,127.0,0.010548,0.28193,1.25,0.0247,81.85,1868.0,2873.72,2.98,14.4,6384.0,4.419,-0.16,1.086,1.129
