,koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_model_snr,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass
534,FALSE POSITIVE,0.293630085,1.2329,2.3857,2017.7,0.28627600000000003,0.48462,26.35,0.0084,18.91,2503.0,9283.34,1.302,170.0,5665.0,4.553999999999999,-0.12,0.843,0.928
535,CONFIRMED,42.89645024,0.007,5.6897,555.3,0.02097,2.09055,2.0,0.2279,89.99,448.0,9.54,58.81,66.8,5192.0,4.489,0.18,0.873,0.856
536,FALSE POSITIVE,2.44199803,0.856,2.759,251.7,0.016528,0.17723,1.44,0.0336,77.07,1282.0,638.05,3.82,27.2,5970.0,4.564,-0.66,0.796,0.847
537,CANDIDATE,30.5872153,0.013,5.3698,464.8,0.01965,1.7663200000000001,2.32,0.1931,89.98,621.0,35.08,44.37,33.1,5944.0,4.38,0.0,1.082,1.024
538,CONFIRMED,7.09712124,0.05,2.1059,369.5,0.017457,6.73172,0.74,0.0533,89.89,425.0,7.73,26.17,18.3,3569.0,4.861000000000001,-0.16,0.389,0.4
539,FALSE POSITIVE,2.6827683,0.769,2.957,79.8,0.008931999999999999,0.25688,1.19,0.0378,80.39,1551.0,1366.57,4.61,26.7,6180.0,4.262,-0.28,1.223,0.997
540,CONFIRMED,3.6014653360000004,0.021,2.2753,777.7,0.024763999999999998,2.78265,2.31,0.0428,89.9,996.0,232.65,12.403,50.7,5052.0,4.48,0.16,0.855,0.805
541,FALSE POSITIVE,3.1082511719999997,0.9,2.5048,1867.7,0.047945,0.27276999999999996,4.43,0.039,80.01,1096.0,340.69,5.18,156.5,5330.0,4.495,-0.08,0.847,0.819
542,CONFIRMED,25.8474958,0.054,5.985,537.4,0.021322,1.07914,2.4,0.1761,89.91,672.0,48.23,33.65,27.3,6297.0,4.448,-0.2,1.031,1.084
543,CONFIRMED,40.715561,0.008,6.894,680.9,0.023993,1.12551,2.7,0.2383,89.99,578.0,26.34,46.2,28.9,6297.0,4.448,-0.2,1.031,1.084
544,FALSE POSITIVE,20.42720701,0.956,3.447,1273.0,0.042256,0.30427,4.42,0.1485,87.1,674.0,48.72,18.86,36.7,6014.0,4.494,-0.08,0.958,1.043
545,FALSE POSITIVE,6.198273591,0.343,7.53837,47303.0,0.202041,0.18955,19.81,0.0657,87.29,985.0,222.23,7.2745,2561.1,6038.0,4.524,-0.28,0.898,0.982
546,FALSE POSITIVE,1.0234717979999999,0.974,2.3499,861.4,0.038794,0.06896000000000001,3.78,0.0192,51.47,1727.0,2103.09,1.563,63.0,5741.0,4.4910000000000005,-0.2,0.893,0.901
547,FALSE POSITIVE,0.51872711,1.199,1.252,714.1,0.22922800000000002,0.23062,19.07,0.0119,36.23,1965.0,3537.27,1.486,93.3,5572.0,4.5969999999999995,-0.36,0.762,0.853
548,CONFIRMED,17.31711739,0.684,3.1518,1473.0,0.037282,2.21402,2.04,0.1054,88.8,454.0,10.07,32.7,35.9,4719.0,4.753,-1.7,0.502,0.52
549,CONFIRMED,9.42889884,0.011,4.4481,565.4,0.021623,0.9652,4.39,0.093,89.96,1163.0,432.9,16.554,50.4,5897.0,3.98,0.16,1.86,1.204
550,FALSE POSITIVE,1.096583368,0.421,2.1188,308.5,0.016191999999999998,0.81029,1.35,0.0186,83.51,1474.0,1119.9,3.72,44.3,5222.0,4.5280000000000005,-0.36,0.763,0.717
551,CANDIDATE,9.95639775,1.222,5.615,510.5,0.24484899999999998,0.00774,28.15,0.095,69.16,905.0,158.42,3.44,32.9,6161.0,4.454,0.07,1.053,1.15
552,CANDIDATE,6.50327035,0.08,2.591,418.3,0.018135,3.3027599999999997,1.67,0.0634,89.76,804.0,98.81,19.47,19.0,4999.0,4.49,0.18,0.843,0.8
553,CANDIDATE,4.09667624,0.142,2.19,302.3,0.01546,3.35101,1.42,0.0466,89.43,938.0,182.9,14.38,16.2,4999.0,4.49,0.18,0.843,0.8
554,CONFIRMED,1.1965484640000001,0.332,1.2592,224.6,0.013587,4.49591,1.25,0.0205,87.27,1414.0,945.12,6.98,16.5,4999.0,4.49,0.18,0.843,0.8
555,CONFIRMED,11.47609015,0.755,5.046,182.3,0.013423,0.23496999999999998,2.07,0.1045,86.33,984.0,221.34,11.78,27.7,6071.0,4.202,0.1,1.41,1.156
556,CONFIRMED,25.2630467,0.743,6.22,125.5,0.011085,0.28685,1.71,0.1769,88.0,756.0,77.24,21.3,14.3,6071.0,4.202,0.1,1.41,1.156
558,CONFIRMED,0.677374687,0.132,1.8361,76.7,0.007964,0.98421,0.9,0.015,87.38,2099.0,4572.56,2.8794,38.7,5718.0,4.395,0.08,1.037,0.974
559,CONFIRMED,10.43547031,0.174,3.4167,210.2,0.013143,2.1962599999999997,1.22,0.0881,89.57,759.0,78.35,23.3,36.7,5528.0,4.499,-0.2,0.853,0.838
560,CONFIRMED,7.41084314,0.064,3.245,124.1,0.010073,1.87677,0.94,0.0702,89.79,850.0,123.4,17.6,25.6,5528.0,4.499,-0.2,0.853,0.838
561,CONFIRMED,28.59914031,0.009,3.6567,1585.1,0.036375,5.49136,1.83,0.1422,89.99,298.0,1.87,61.92,53.8,3755.0,4.781000000000001,-0.26,0.461,0.47
562,CONFIRMED,24.58716355,0.648,3.984,907.5,0.028979,1.67641,2.37,0.1552,89.02,530.0,18.72,37.7,35.6,5474.0,4.605,-0.34,0.749,0.831
563,FALSE POSITIVE,34.193600311,0.625,5.413819999999999,13715.0,0.112571,1.41869,21.95,0.2155,89.19,778.0,86.74,44.426,1405.6,6129.0,3.991,-0.14,1.786,1.14
564,CONFIRMED,12.53248222,0.668,4.0168,1145.9,0.032795,0.79997,3.24,0.1054,87.96,775.0,85.15,18.8,66.7,5997.0,4.522,-0.22,0.904,0.991
565,CANDIDATE,31.201692471999998,0.001,2.15663,34514.0,0.169571,41.97515,8.31,0.1498,90.0,286.0,1.59,129.27,607.4,3748.0,4.796,-0.3,0.449,0.461
566,CONFIRMED,13.19720694,0.568,3.4872,2141.4,0.043296,1.7617900000000002,4.18,0.1027,88.71,642.0,40.03,25.31,116.2,4954.0,4.462,0.44,0.885,0.827
567,CONFIRMED,14.85890852,0.255,3.5252,3269.0,0.05159,3.0400099999999997,5.94,0.1136,89.56,720.0,63.52,32.86,456.8,5356.0,4.338,0.2,1.055,0.882
568,CONFIRMED,4.08897299,0.374,3.585,157.9,0.011602,0.627,2.36,0.0533,87.39,1537.0,1317.96,8.21,19.0,5897.0,3.98,0.16,1.86,1.204
569,FALSE POSITIVE,2.8666803339999998,0.968,1.1264,712.4,0.035102,0.8591200000000001,2.93,0.0373,82.27,1045.0,282.64,7.2,43.0,5238.0,4.598,-0.1,0.764,0.854
570,CONFIRMED,17.44486016,0.871,4.445,826.9,0.030722000000000003,0.28137,3.24,0.1263,86.98,679.0,50.32,16.54,46.0,5568.0,4.413,-0.04,0.966,0.882
571,FALSE POSITIVE,8.30697421,1.151,2.76,158.7,0.163795,0.01891,37.99,0.0747,73.7,1246.0,570.93,4.1,17.4,5300.0,3.69,-0.76,2.124,0.804
573,CONFIRMED,7.33685101,0.018,3.548,325.8,0.016434,1.4571,1.52,0.0724,89.93,875.0,138.46,16.07,21.6,5795.0,4.553999999999999,-0.2,0.848,0.938
574,FALSE POSITIVE,22.65117451,0.925,3.6895,2250.0,0.052355,0.4795,7.62,0.1721,87.74,855.0,126.57,23.52,170.1,6968.0,4.31,-0.1,1.333,1.333
575,FALSE POSITIVE,1.204274435,0.528,1.3362,185.8,0.012855000000000002,2.8090900000000003,1.19,0.0217,84.94,1564.0,1413.91,5.99,34.7,5668.0,4.552,-0.1,0.849,0.938
576,CANDIDATE,7.71790675,0.112,1.84,306.8,0.016108,10.76832,0.9,0.0621,89.8,502.0,15.01,32.37,12.6,3975.0,4.753,-0.34,0.509,0.535
577,CONFIRMED,27.6652847,0.004,6.633,469.2,0.019867,0.8486799999999999,2.21,0.1754,89.99,641.0,39.94,32.5,36.1,6036.0,4.396,-0.32,1.017,0.939
578,FALSE POSITIVE,0.9489507340000001,1.246,4.0245,2133.0,0.298025,0.06071,36.87,0.0198,28.98,2103.0,4636.91,1.424,238.6,6307.0,4.391,-0.02,1.133,1.152
579,CONFIRMED,14.55730897,0.036,7.7643,956.9,0.028038,0.28517,4.32,0.1186,89.86,879.0,141.0,14.7277,200.0,5774.0,4.159,0.14,1.412,1.048
580,FALSE POSITIVE,4.722254104,0.506,3.451,82670.0,0.27118000000000003,1.5481200000000002,14.45,0.0443,87.63,557.0,22.67,12.22,314.1,3801.0,4.776,-0.14,0.488,0.517
581,FALSE POSITIVE,0.635069939,1.25,2.07171,33117.0,0.499997,0.616,57.77,0.015,58.0,2351.0,7193.72,2.359,578.6,6340.0,4.434,-0.18,1.058,1.106
582,CANDIDATE,6.8108237229999995,0.57,7.98574,14447.0,0.114797,0.10153999999999999,26.06,0.0798,84.8,1626.0,1656.16,6.291,1441.9,7226.0,3.967,-0.4,2.079,1.461
583,FALSE POSITIVE,0.933746515,1.262,6.6522,2936.6,0.32659099999999996,0.0547,25.54,0.0169,22.02,1508.0,1222.25,1.361,549.5,5252.0,4.596,-0.42,0.716,0.737
584,FALSE POSITIVE,1.8724217269999999,0.917,1.5261,3018.9,0.062711,0.72713,5.65,0.0271,79.7,1298.0,672.92,5.13,179.0,5337.0,4.486000000000001,-0.26,0.825,0.76
585,CONFIRMED,33.6528474,0.567,3.9616,1140.8,0.031582,2.92104,3.05,0.1916,89.42,470.0,11.5,55.9,41.9,4954.0,4.462,0.44,0.885,0.827
586,CONFIRMED,5.90127815,0.03,2.1979,1525.2,0.035599,5.20598,1.94,0.051,89.92,514.0,16.54,21.241,56.6,3731.0,4.75,-0.02,0.498,0.509
587,CONFIRMED,8.75209691,0.017,2.3742,1367.6,0.0337,6.09386,1.83,0.0664,89.97,451.0,9.76,29.11,44.8,3731.0,4.75,-0.02,0.498,0.509
588,CONFIRMED,22.78078241,0.008,3.3002,1925.1,0.039958999999999995,6.01274,2.17,0.1256,89.99,328.0,2.73,54.84,46.4,3731.0,4.75,-0.02,0.498,0.509
589,CONFIRMED,2.8960052110000003,0.082,1.6776,614.1,0.022622999999999997,5.4955099999999995,1.23,0.0318,89.65,652.0,42.53,13.46,28.6,3731.0,4.75,-0.02,0.498,0.509
590,CONFIRMED,0.742957911,0.162,0.6688,843.3,0.027073000000000003,22.018710000000002,1.47,0.0128,88.93,1026.0,262.51,8.63,45.3,3731.0,4.75,-0.02,0.498,0.509
591,FALSE POSITIVE,54.35635067,1.142,6.4345,10510.0,0.283169,0.34558,38.81,0.2898,88.27,566.0,24.18,37.79,628.1,6161.0,4.281000000000001,0.0,1.255,1.095
592,FALSE POSITIVE,0.54624855,1.215,2.0543,639.7,0.242745,0.15067,18.93,0.0121,24.42,1837.0,2677.36,1.334,42.9,5414.0,4.625,-0.44,0.714,0.792
593,CONFIRMED,18.82744023,0.025,4.664,1006.2,0.028791000000000004,1.7040099999999998,2.7,0.1353,89.96,632.0,37.82,31.72,29.5,5687.0,4.538,-0.12,0.86,0.93
594,FALSE POSITIVE,8.4120069,0.022,3.923,819.6,0.025159,1.26754,1.71,0.0703,89.93,590.0,28.69,16.8,39.7,4502.0,4.668,-0.26,0.621,0.662
595,CONFIRMED,5.7477119089999995,0.575,1.8923,820.1,0.026906,4.417669999999999,1.86,0.054,88.33,641.0,40.07,19.76,51.7,4252.0,4.64,-0.06,0.632,0.637
596,CONFIRMED,3.5046912519999998,0.741,1.9811,315.1,0.017643,1.30835,2.03,0.0434,85.52,1165.0,435.21,9.47,67.5,5356.0,4.338,0.2,1.055,0.882
597,FALSE POSITIVE,0.9958614020000001,1.256,1.1507,4993.8,0.34927800000000003,0.8217,26.93,0.0176,69.01,1477.0,1124.35,3.51,272.0,5286.0,4.604,-0.48,0.706,0.731
598,CONFIRMED,86.67856052,0.291,10.1289,8244.1,0.083303,0.79964,9.83,0.3779,89.76,434.0,8.41,68.23,318.3,5822.0,4.351,-0.06,1.081,0.957
599,CANDIDATE,12.21828097,0.778,2.6969,1843.4,0.043209,1.76732,5.1,0.1024,88.15,835.0,114.59,24.1,90.1,5822.0,4.351,-0.06,1.081,0.957
600,FALSE POSITIVE,8.387210055,1.284,1.6477,4952.0,0.369981,1.7312400000000001,72.52,0.0882,86.04,1211.0,509.55,18.6,180.6,6089.0,4.044,0.08,1.795,1.299
601,FALSE POSITIVE,15.2384539,0.74,19.292,7019.0,0.082932,0.0093,9.84,0.1253,81.23,829.0,111.67,4.85,56.0,6384.0,4.419,-0.16,1.086,1.129
602,FALSE POSITIVE,0.41333449200000005,1.2313,2.3808,2025.1,0.284068,0.26727,31.52,0.0112,23.49,2509.0,9374.09,1.341,236.9,5973.0,4.465,0.12,1.016,1.099
603,FALSE POSITIVE,0.93374614,1.27,6.551,1717.5,0.317424,0.05269,149.71,0.0228,19.08,3303.0,28084.15,1.344,365.7,5438.0,3.424,-0.02,4.319,1.807
604,FALSE POSITIVE,6.47179275,0.014,6.788,402.5,0.018468000000000002,0.18603,2.08,0.0699,89.89,1075.0,316.0,7.44,30.7,6341.0,4.446000000000001,-0.24,1.033,1.083
605,CANDIDATE,64.617518,0.9,5.796,2486.6,0.056124,0.47168999999999994,5.4,0.297,88.9,383.0,5.09,47.0,61.9,5043.0,4.47,0.3,0.881,0.834
606,CONFIRMED,13.21409607,0.812,3.5641,1154.8,0.034865,0.6510100000000001,2.77,0.1019,87.44,629.0,36.95,18.18,38.0,5333.0,4.62,-0.32,0.728,0.813
607,CONFIRMED,6.05729966,0.219,3.7419,385.2,0.017666,0.96083,1.94,0.062,88.98,947.0,189.98,12.31,35.1,5334.0,4.372,0.16,1.004,0.865
608,CONFIRMED,3.584101048,0.045,2.7316,2608.1,0.046303,1.7026599999999998,4.66,0.0462,89.76,1131.0,386.66,10.4957,166.3,5739.0,4.518,0.1,0.922,1.021
609,CONFIRMED,1.763587535,0.512,3.16877,4590.6,0.064717,0.4004,21.42,0.0386,82.71,3559.0,37958.27,4.0378,4061.9,9107.0,3.867,0.07,3.031,2.466
610,CONFIRMED,5.014234733,0.066,4.589,6536.0,0.07446799999999999,0.5437,10.63,0.0626,89.58,1308.0,692.13,8.9737,794.3,6490.0,4.32,0.16,1.307,1.304
611,CONFIRMED,8.11528727,0.916,3.211,834.9,0.031988,0.22536,3.1,0.0785,84.3,879.0,140.92,9.22,59.1,5926.0,4.532,-0.2,0.887,0.978
612,CONFIRMED,36.9250409,0.838,4.9381,902.0,0.031099,0.56084,3.01,0.2155,88.6,530.0,18.7,34.3,39.3,5926.0,4.532,-0.2,0.887,0.978
613,FALSE POSITIVE,37.4783492,1.161,5.317,1467.9,0.209206,0.08267999999999999,10.05,0.1692,86.37,262.0,1.12,18.31,18.3,3687.0,4.813,-0.2,0.44,0.459
614,FALSE POSITIVE,8.09695764,1.165,3.319,283.5,0.182422,0.01755,34.0,0.0821,72.77,1197.0,484.58,3.93,35.4,5949.0,4.024,0.02,1.707,1.122
615,CANDIDATE,32.3122867,0.934,6.569,677.8,0.02967,0.07872,4.84,0.2015,86.72,699.0,56.49,16.32,33.6,5821.0,4.1080000000000005,0.04,1.494,1.043
616,CANDIDATE,9.22961384,0.067,2.235,492.1,0.020371,7.35865,2.79,0.0933,89.88,1021.0,257.11,32.12,19.3,6320.0,4.3469999999999995,0.24,1.252,1.273
617,CONFIRMED,14.5598556,0.026,5.624,290.6,0.015571000000000002,0.72319,1.64,0.116,89.93,758.0,78.26,20.086,15.6,5959.0,4.46,-0.16,0.966,0.983
618,CONFIRMED,4.176254191,0.715,3.6716,1360.1,0.036246,0.30785,3.07,0.0483,83.75,876.0,139.48,6.57,249.7,4957.0,4.593999999999999,0.26,0.776,0.867
619,FALSE POSITIVE,0.528755447,1.204,5.714,408.5,0.22379699999999997,0.12417,47.75,0.0134,10.53,3271.0,27241.45,1.224,100.1,6151.0,3.92,-0.22,1.954,1.158
620,CONFIRMED,6.10027621,0.015,4.7476,766.6,0.025279,0.52073,2.59,0.066,89.92,990.0,227.15,10.081,43.2,5957.0,4.506,-0.08,0.937,1.026
621,CANDIDATE,51.59809554,0.251,2.0153,5869.2,0.07007100000000001,59.82806,6.57,0.2675,89.93,449.0,9.61,203.4,79.7,5681.0,4.551,-0.06,0.859,0.957
622,CANDIDATE,1500.0,0.9243,7.109,9592.0,0.11811300000000001,8.77051,9.8,2.4144,89.95,139.0,0.09,1014.0,62.5,5606.0,4.5969999999999995,-0.4,0.76,0.832
623,FALSE POSITIVE,10.9110487,0.9761,7.033,401.9,0.025025,0.00898,2.36,0.0949,75.06,786.0,90.07,3.84,28.3,5903.0,4.546,-0.24,0.864,0.955
624,CONFIRMED,8.408878137,0.018,3.4967,798.9,0.025693,1.7918599999999998,2.28,0.0744,89.95,809.0,101.22,18.85,147.2,5551.0,4.508,-0.42,0.812,0.776
625,CONFIRMED,10.93725572,0.866,3.0822,421.6,0.021998,0.50645,2.41,0.092,86.63,777.0,86.28,14.74,24.6,5334.0,4.372,0.16,1.004,0.865
626,CONFIRMED,2.97136658,0.349,2.716,233.3,0.013899000000000002,1.08986,1.52,0.0386,87.49,1200.0,490.13,7.98,25.6,5334.0,4.372,0.16,1.004,0.865
627,CONFIRMED,158.6850022,0.034,11.5372,898.3,0.027275,0.94331,3.08,0.5444,89.98,350.0,3.53,107.88,97.4,5751.0,4.34,-0.28,1.034,0.852
628,CONFIRMED,2.936527336,0.524,1.771,352.3,0.01755,2.97942,1.92,0.0383,87.29,1209.0,505.22,11.07,34.7,5359.0,4.375,0.14,1.002,0.867
629,CONFIRMED,7.03902016,0.015,3.8633,529.8,0.021176,1.09896,2.45,0.0744,89.94,1051.0,288.92,14.225,54.3,6321.0,4.434,-0.16,1.058,1.108
630,CONFIRMED,8.360870704,0.494,2.7144,2039.7,0.041502,2.72405,3.67,0.0744,88.69,690.0,53.68,21.6,120.9,4743.0,4.516,0.4,0.81,0.786
631,FALSE POSITIVE,3.14051153,1.251,8.2806,1444.4,0.29153,0.00746,31.01,0.0414,37.32,1306.0,689.48,1.573,139.5,6108.0,4.4430000000000005,-0.34,0.974,0.959
632,CANDIDATE,21.76129812,0.123,1.243,1300.7,0.032165,102.86534,2.53,0.1401,89.95,486.0,13.18,137.07,60.0,4859.0,4.612,0.0,0.72,0.781
633,FALSE POSITIVE,12.713794177,0.485,2.44093,36719.0,0.182308,9.24825,2.31,0.0485,89.35,181.0,0.26,42.91,2981.3,2661.0,5.2829999999999995,0.0,0.116,0.094
634,FALSE POSITIVE,15.801100027999999,0.512,6.37505,37545.0,0.181231,0.62227,15.61,0.118,88.55,614.0,33.6,20.176,1642.2,5383.0,4.587,-0.1,0.789,0.885
635,CANDIDATE,1500.1406772,0.9131,25.727,4129.9,0.07359,0.13376,18.35,2.634,89.95,206.0,0.42,251.5,83.3,5009.0,3.755,0.07,2.283,1.083
636,FALSE POSITIVE,1.739428983,4.246,2.4894,5897.4,3.315613,1.30666,268.65,0.0263,44.32,1268.0,612.49,5.93,130.0,5415.0,4.603,-0.34,0.742,0.806
637,FALSE POSITIVE,1.217266418,0.878,3.3208,5811.5,0.081026,0.10288,14.49,0.0248,64.01,2378.0,7548.29,2.0048,603.4,6631.0,4.145,0.04,1.638,1.366
638,FALSE POSITIVE,19.563092517,0.842,6.9547,12992.0,0.118835,0.19682,23.76,0.1473,86.95,965.0,205.39,15.85,2477.0,6208.0,3.9589999999999996,-0.3,1.831,1.112
639,FALSE POSITIVE,3.7228551,0.911,12.8164,2969.2,0.060155999999999994,0.005,5.67,0.0464,53.75,1118.0,368.33,1.5415,294.8,5873.0,4.547,-0.22,0.863,0.954
640,FALSE POSITIVE,48.93786896,0.981,6.5868,7240.1,0.12579500000000002,0.24466999999999997,24.19,0.2934,88.21,764.0,80.37,31.41,445.7,7066.0,4.093999999999999,-0.24,1.761,1.406
641,FALSE POSITIVE,5.48990788,1.199,4.02,598.9,0.22516599999999998,0.015030000000000002,23.6,0.0619,65.41,1039.0,275.65,2.88,36.7,5982.0,4.493,-0.04,0.96,1.047
642,CONFIRMED,161.5278347,0.0,3.6734,4653.6,0.061844,32.90527,8.19,0.5874,90.0,366.0,4.25,356.7,54.7,5778.0,4.285,0.16,1.213,1.033
643,FALSE POSITIVE,0.73093905,0.018,2.8437,451.1,0.018734999999999998,0.32292,1.45,0.0142,89.5,1488.0,1159.62,2.089,52.4,4768.0,4.588,-0.1,0.711,0.714
644,CONFIRMED,11.39102358,0.732,2.303,448.6,0.020993,2.839,1.67,0.092,88.44,618.0,34.55,26.9,10.5,4983.0,4.617,0.07,0.728,0.836
645,CONFIRMED,12.33343853,0.979,6.221,536.4,0.030411,0.01522,4.12,0.1003,78.63,915.0,165.3,4.96,31.7,5896.0,4.197,-0.36,1.24,0.884
646,CONFIRMED,8.01500821,0.645,3.0137,363.0,0.018282,1.21123,2.0,0.0748,87.69,865.0,132.46,16.02,28.6,5359.0,4.375,0.14,1.002,0.867
647,FALSE POSITIVE,0.933749941,1.225,6.606,415.3,0.24661,0.04326,12.93,0.015,13.27,919.0,168.44,1.259,88.8,3682.0,4.7860000000000005,0.07,0.48,0.512
648,CONFIRMED,7.0539344879999994,0.899,1.7244,511.5,0.025075,1.39386,2.36,0.0684,86.66,840.0,117.33,15.42,56.3,5357.0,4.498,0.0,0.863,0.854
649,CONFIRMED,4.29263699,0.454,2.7,61.4,0.007234999999999999,1.3451899999999999,0.68,0.0491,87.62,991.0,227.69,10.94,11.4,5357.0,4.498,0.0,0.863,0.854
650,CANDIDATE,7.6746614,0.939,1.9374,503.0,0.025638,0.6277699999999999,2.8,0.0781,85.69,957.0,198.67,12.5,20.8,6063.0,4.47,-0.02,1.001,1.079
651,FALSE POSITIVE,0.445275074,0.639,2.276,254.7,0.015328999999999999,0.27529000000000003,1.21,0.0106,63.33,1950.0,3419.7,1.424,86.3,5346.0,4.621,-0.34,0.725,0.81
652,CONFIRMED,1.213770423,0.83,0.5532,1821.0,0.048039,15.990129999999999,0.78,0.0113,85.57,525.0,18.03,10.76,111.4,3292.0,5.215,-0.42,0.148,0.132
653,CONFIRMED,0.453287416,0.81,0.4445,1461.5,0.046729,13.257279999999998,0.76,0.0059,81.11,729.0,66.14,5.24,150.4,3292.0,5.215,-0.42,0.148,0.132
654,FALSE POSITIVE,10.810132734000002,0.948,4.4618,6165.2,0.099512,0.18076,13.95,0.0993,84.76,985.0,222.68,10.375,806.5,6211.0,4.269,0.0,1.284,1.114
655,CONFIRMED,1.8651141930000001,0.785,0.4279,1124.8,0.040715,64.04739000000001,0.66,0.0151,88.02,455.0,10.1,22.8,56.9,3292.0,5.215,-0.42,0.148,0.132
656,FALSE POSITIVE,3.273699006,0.733,3.07626,6862.8,0.08215,0.49173,22.36,0.0606,83.56,3060.0,20728.79,6.531,1293.1,10816.0,4.086,0.07,2.493,2.76
657,FALSE POSITIVE,7.047103498999999,1.047,3.3208,71318.0,0.458805,1.71458,51.86,0.0725,86.36,955.0,196.62,16.511,274.9,5730.0,4.417,0.18,1.035,1.018
658,FALSE POSITIVE,0.530300102,1.2507,2.8502,3040.0,0.315234,0.18459,35.73,0.0133,26.93,2410.0,7972.18,1.4,207.4,6184.0,4.448,-0.06,1.038,1.1
659,FALSE POSITIVE,1.073917869,1.266,2.4305,1926.6,0.315181,0.08957999999999999,33.01,0.0206,44.05,1794.0,2450.63,1.761,137.5,5962.0,4.479,-0.1,0.959,1.011
660,FALSE POSITIVE,4.2060968139999995,1.239,10.7381,1298.1,0.277993,0.004079999999999999,32.66,0.0531,37.52,1252.0,581.11,1.563,149.3,6306.0,4.426,-0.1,1.076,1.126
661,FALSE POSITIVE,19.56313723,0.908,6.8575,5536.0,0.082732,0.10614000000000001,9.73,0.1398,85.97,706.0,58.71,12.901,157.8,5766.0,4.352,-0.02,1.077,0.952
662,FALSE POSITIVE,2.2277187919999997,1.04,4.9699,1039.0,0.0882,0.01339,8.88,0.0334,46.81,1400.0,906.46,1.52,124.3,6038.0,4.508,-0.22,0.922,1.0
663,FALSE POSITIVE,0.591914504,1.344,1.0225,1057.7,0.380366,0.39555,27.21,0.0123,46.21,1646.0,1746.78,1.942,56.3,5122.0,4.659,-0.52,0.655,0.713
664,CONFIRMED,36.7704935,0.545,4.42,1346.6,0.034299,2.44273,2.83,0.2036,89.44,437.0,8.6,55.9,40.8,5142.0,4.602,-0.06,0.755,0.84
665,CONFIRMED,14.58932429,0.694,2.4184,831.3,0.028129,3.795,2.32,0.1099,88.86,594.0,29.53,35.0,29.3,5142.0,4.602,-0.06,0.755,0.84
666,CANDIDATE,0.764017553,0.442,1.103,128.2,0.010487,3.7212,0.86,0.0154,84.79,1589.0,1503.79,4.86,13.2,5142.0,4.602,-0.06,0.755,0.84
667,CONFIRMED,59.8780258,0.004,4.8027,1419.1,0.033448,5.0319,2.19,0.2522,90.0,273.0,1.31,98.43,51.8,4016.0,4.658,0.02,0.599,0.595
668,CANDIDATE,20.51360192,0.703,3.4769,1174.1,0.033497000000000006,1.79135,2.58,0.1323,88.82,540.0,20.15,34.2,32.3,5310.0,4.6080000000000005,-0.5,0.704,0.733
669,CONFIRMED,74.92768653,0.796,4.74,4119.2,0.06521,2.10576,6.39,0.3292,89.47,409.0,6.62,85.5,161.5,5618.0,4.46,-0.22,0.897,0.846
670,CANDIDATE,150.0189511,1.252,4.3823,4319.7,0.332851,1.42611,32.6,0.523,89.4,325.0,2.62,119.3,106.2,5618.0,4.46,-0.22,0.897,0.846
671,CONFIRMED,2.613020421,0.891,1.9588,599.7,0.02652,0.408,1.5,0.0298,80.29,713.0,61.24,5.28,31.1,3883.0,4.725,-0.24,0.517,0.516
672,CONFIRMED,0.927859786,0.795,1.4279,515.3,0.023395,0.8033399999999999,1.79,0.017,76.15,1361.0,813.3,3.32,99.8,4815.0,4.631,0.07,0.699,0.799
673,CANDIDATE,205.912735,0.196,9.992,2378.8,0.044194,1.8788,4.68,0.6785,89.93,298.0,1.85,161.5,49.4,5644.0,4.457,0.14,0.969,0.981
674,CONFIRMED,7.10695741,0.079,5.1462,131.0,0.01039,0.45155,1.72,0.0733,89.57,1157.0,422.8,10.643,33.8,5761.0,4.091,0.06,1.518,1.036
675,CANDIDATE,0.783276173,0.041,1.6735,264.7,0.014734,1.5282,1.98,0.0165,89.37,2149.0,5056.88,3.673,46.9,5640.0,4.247,0.16,1.233,0.979
676,CANDIDATE,3.17405898,0.422,2.3156,282.2,0.015521,1.7120900000000001,2.09,0.042,87.51,1348.0,780.46,9.7,29.2,5640.0,4.247,0.16,1.233,0.979
677,CONFIRMED,2.1395563,0.368,2.0678,266.1,0.014957,1.748,1.76,0.0317,87.19,1425.0,974.3,7.51,48.9,5534.0,4.338,0.14,1.08,0.926
678,CONFIRMED,4.807103253999999,0.94,0.9393,450.5,0.025102,3.39526,2.96,0.0544,86.65,1088.0,330.84,16.07,32.9,5534.0,4.338,0.14,1.08,0.926
679,CONFIRMED,21.4054422,0.943,11.721,409.3,0.024433,0.00747,11.64,0.1681,80.4,1087.0,330.0,5.66,60.9,4838.0,3.299,0.2,4.361,1.381
680,CONFIRMED,10.5007712,0.034,14.522,183.4,0.011923,0.030410000000000003,5.68,0.1046,89.66,1378.0,852.28,5.617,45.3,4838.0,3.299,0.2,4.361,1.381
681,CONFIRMED,2.6338525280000002,0.204,2.0206,259.8,0.014431999999999999,2.65689,1.38,0.0349,88.82,1131.0,387.43,9.91,23.3,5114.0,4.463,0.16,0.878,0.817
682,CONFIRMED,6.18670882,0.013,2.909,202.6,0.01265,2.20428,1.21,0.0617,89.95,851.0,123.96,16.46,14.3,5114.0,4.463,0.16,0.878,0.817
